image_id,Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,LOGO,Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Sponsor Id,Sponsor Name,Overperforming Score,Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
198908972_1024877058085056_1594946248787350423_n,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,brown,1,UNICEF,unicef,8686345,2021-06-10 11:45:46 EDT,10-06-21,11:45:46,Photo,21195,21047,148,0,FALSE,https://www.instagram.com/p/CP8fdxFK8cV/,https://www.instagram.com/p/CP8fdxFK8cV/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/198908972_1024877058085056_1594946248787350423_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=ABv4XvGvnqQAX_U6scJ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=6f372f8fa7fcdbd7f08569a6a3733ce6&oe=60C6A5ED,,,,-1.18,HIGH,0,0,0,0,0,1,0,0
199130623_247287097166679_5130373369549671566_n,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,UNICEF,unicef,8701529,2021-06-12 12:05:50 EDT,12-06-21,12:05:50,Photo,19902,19746,156,0,FALSE,https://www.instagram.com/p/CQBrWjtqzfM/,https://www.instagram.com/p/CQBrWjtqzfM/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/199130623_247287097166679_5130373369549671566_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=oQiqI7Bub4oAX-Pp753&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=e74243b1a5eae0e6c311631196baabe8&oe=60D4D83F,,,,-1.22,HIGH,0,0,0,0,0,1,0,0
199254354_540205546998124_5272836979370530088_n,FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,brown,1,UNICEF,unicef,8701529,2021-06-12 00:15:29 EDT,12-06-21,0:15:29,Photo,11615,11542,73,0,FALSE,https://www.instagram.com/p/CQAaD1aq-jo/,https://www.instagram.com/p/CQAaD1aq-jo/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/199254354_540205546998124_5272836979370530088_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=uw9qXfxbagMAX_zbPeE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c909f88f35b05c8765c21363ae21676e&oe=60D555BD,,,,-2.1,HIGH,0,0,0,0,0,1,0,0
199475431_394072038521152_678004363040287133_n,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,green,1,UNICEF,unicef,8693488,2021-06-11 00:15:20 EDT,11-06-21,0:15:20,Photo,18101,17990,111,0,FALSE,https://www.instagram.com/p/CP91P02KKrn/,https://www.instagram.com/p/CP91P02KKrn/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/199475431_394072038521152_678004363040287133_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=2WpYfokYqBMAX9jGlc7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=e53c8723b451bc62d6fdc90b5d3beb2c&oe=60C80686,,,,-1.36,HIGH,0,1,0,0,0,0,0,0
200161840_834517253837727_4579419252298762786_n,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,brown,1,UNICEF,unicef,8693488,2021-06-11 18:05:23 EDT,11-06-21,18:05:23,Photo,18105,18026,79,0,FALSE,https://www.instagram.com/p/CP_vtDXqpLs/,https://www.instagram.com/p/CP_vtDXqpLs/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/200161840_834517253837727_4579419252298762786_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=ocB32Wq-azIAX_KROcB&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=f0eae9049b29d76363b252a4b8804774&oe=60D60A12,,,,-1.36,HIGH,0,1,0,0,0,0,0,0
200193959_127511766129237_3095708830988172762_n,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,UNICEF,unicef,8713613,2021-06-14 00:15:07 EDT,14-06-21,0:15:07,Photo,20444,20340,104,0,FALSE,https://www.instagram.com/p/CQFjm0tKUPI/,https://www.instagram.com/p/CQFjm0tKUPI/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/200193959_127511766129237_3095708830988172762_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=MKTWNw3tIkIAX_ET8Ke&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=9ad0235a9759cfeed54aff436495bc7a&oe=60CADCE2,,,,-1.19,HIGH,0,0,0,0,0,1,0,0
200235985_1047486745783253_2860018860018275747_n,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,UNICEF,unicef,8701529,2021-06-12 18:05:35 EDT,12-06-21,18:05:35,Photo,17712,17574,138,0,FALSE,https://www.instagram.com/p/CQCUhe_Kv1L/,https://www.instagram.com/p/CQCUhe_Kv1L/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/200235985_1047486745783253_2860018860018275747_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=oD2qRHjYAqoAX_g0KjW&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=d0073a65bb906a9a608abd4347cd6590&oe=60C9BD70,,,,-1.37,HIGH,0,0,0,0,0,0,0,0
200521822_501893387719028_3064429351674205709_n,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,blue,1,UNICEF,unicef,8713613,2021-06-14 12:26:47 EDT,14-06-21,12:26:47,Photo,10960,10859,101,0,FALSE,https://www.instagram.com/p/CQG3Vteommg/,https://www.instagram.com/p/CQG3Vteommg/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/200521822_501893387719028_3064429351674205709_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=9OZHNZ9g4icAX88gG-n&_nc_oc=AQlU2rdfG4_t3p2I6NJ6YjUJZy8xLw2YZ9R59FiSfMnA-k2OjEV8kHcrjXVrPL7W-zc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=43911d14f724b1bf6161a20546f38b81&oe=60E8E6BD,,,,-2.18,HIGH,0,0,0,0,0,0,0,0
200687155_275672180914258_3969373119685340287_n,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,brown,1,UNICEF,unicef,8713613,2021-06-14 09:00:13 EDT,14-06-21,9:00:13,Photo,17591,17447,144,0,FALSE,https://www.instagram.com/p/CQGfsvhqlfe/,https://www.instagram.com/p/CQGfsvhqlfe/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/200687155_275672180914258_3969373119685340287_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=23tHSFuTL-UAX8RCqEe&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=8491c2e3691e3adcf210b18662071e25&oe=60CB56D7,,,,-1.38,HIGH,0,0,0,0,0,0,0,0
200777169_542579087119173_5777033824480647706_n,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,cyan,1,UNICEF,unicef,8719056,2021-06-15 00:05:00 EDT,15-06-21,0:05:00,Photo,26961,26717,244,0,FALSE,https://www.instagram.com/p/CQIHPrMoqXR/,https://www.instagram.com/p/CQIHPrMoqXR/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/200777169_542579087119173_5777033824480647706_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=YIi1OLf5RrwAX-pzlaC&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=1bf389ae95af5848bf108a55911d9ab9&oe=60DED510,,,,1.13,HIGH,0,1,0,0,0,0,0,0
201296893_450007249377231_2771928973800195941_n,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,UNICEF,unicef,8719056,2021-06-15 12:15:48 EDT,15-06-21,12:15:48,Photo,13572,13497,75,0,FALSE,https://www.instagram.com/p/CQJa4I-omly/,https://www.instagram.com/p/CQJa4I-omly/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201296893_450007249377231_2771928973800195941_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=x-U39m_6KvgAX9aU3Kh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=58eb4e1fdbb3bf21b401dba7494eb85f&oe=60D5EFE0,,,,-1.75,HIGH,0,0,0,0,0,1,0,0
201569016_302424358095544_5031352705951499655_n,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,cyan,1,UNICEF,unicef,8719056,2021-06-15 14:55:26 EDT,15-06-21,14:55:26,Photo,15317,15232,85,0,FALSE,https://www.instagram.com/p/CQJtJXRIFNQ/,https://www.instagram.com/p/CQJtJXRIFNQ/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201569016_302424358095544_5031352705951499655_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=J2iE_tnEGBAAX_ospuy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=711073f3ca28f23ab3f2a71a23c986bc&oe=60D64620,,,,-1.55,HIGH,0,0,0,0,0,0,0,0
201601313_4198163520252980_5673146399271733226_n,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,UNICEF,unicef,8728500,2021-06-17 00:15:44 EDT,17-06-21,0:15:44,Photo,22900,22733,167,0,FALSE,https://www.instagram.com/p/CQNSEDDtc8i/,https://www.instagram.com/p/CQNSEDDtc8i/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201601313_4198163520252980_5673146399271733226_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=XBsajv8VMpQAX8GNLNO&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=1a4c7cbfb203830cd987368a5d003016&oe=60D5BCEE,,,,-1.01,HIGH,0,0,0,0,0,1,0,0
201768371_4123474004397338_2266865898861520404_n,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,UNICEF,unicef,8721357,2021-06-16 11:45:45 EDT,16-06-21,11:45:45,Photo,20092,19867,225,0,FALSE,https://www.instagram.com/p/CQL8O8Yoxxm/,https://www.instagram.com/p/CQL8O8Yoxxm/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201768371_4123474004397338_2266865898861520404_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=RGggWmv8aPcAX8Ztesn&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=525d7b2f6f3c3c9091ba0f41f8c85f6a&oe=60D71F58,,,,-1.17,HIGH,0,0,0,0,0,0,0,1
201799879_223209692774560_2387654676000774787_n,TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,grey,1,UNICEF,unicef,8721357,2021-06-16 09:00:41 EDT,16-06-21,9:00:41,Photo,14043,13980,63,0,FALSE,https://www.instagram.com/p/CQLpWATN-bM/,https://www.instagram.com/p/CQLpWATN-bM/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/201799879_223209692774560_2387654676000774787_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=lekEMgra9fYAX_qJ-UT&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=485e0356c134fca7fd9ddd8c6a157276&oe=60CF5003,,,,-1.67,HIGH,0,0,0,0,0,1,0,0
201870702_242217373941049_5457512822259102560_n,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,grey,1,UNICEF,unicef,8728500,2021-06-17 20:08:19 EDT,17-06-21,20:08:19,Photo,15758,15674,84,0,FALSE,https://www.instagram.com/p/CQPaiwFNQCN/,https://www.instagram.com/p/CQPaiwFNQCN/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201870702_242217373941049_5457512822259102560_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=aF-mQpfANPsAX-fNlqF&_nc_oc=AQmvO39SaVk2-L3k3tW3hFHwIpLg7UH8u87uf492j47WO1nd7Z9KXoIhvjyUMSuPUCE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=57053ee9a752fba9a07a3e823bf5f410&oe=60D618B2,,,,-1.46,HIGH,0,0,0,0,0,1,0,0
201960081_494096318534243_4285613131580690552_n,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,green,1,UNICEF,unicef,8713613,2021-06-14 09:24:59 EDT,14-06-21,9:24:59,Photo,17129,16896,233,0,FALSE,https://www.instagram.com/p/CQGiiJDou0T/,https://www.instagram.com/p/CQGiiJDou0T/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201960081_494096318534243_4285613131580690552_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=SKYra76D15MAX-R2cqy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=9ef4f36c19f5d725e0a1cdb29f10b43b&oe=614A505D,,,,-1.4,HIGH,0,0,0,0,0,0,0,0
