image_id,Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,Page Name,User Name,Facebook Id,Page Category,LOGO,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
1.02E+16,1,1,0,1,1,0,0,0,0,green,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,70825,73017,2020-07-16 11:00:43 EDT,16-07-20 0:00,11:00:43,Photo,127,89,2,16,12,0,0,0,0,8,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157582426046984,📚 Each child deserves access to education to help them live a strong independent life. Providing the access to education is an investment that empowers children to create a better future. #EducationForAll 📖,https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157582426046984/?type=3,,,Timeline Photos,,,,,1.46,HIGH,0,0,0,0,0,1,0,0
1.02E+16,0,1,1,1,2,1,0,0,0,blue,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,70956,73172,2020-07-20 12:02:23 EDT,20-07-20 0:00,12:02:23,Photo,312,168,49,75,18,0,0,0,0,2,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157593146051984,"These are the final days of voting for the Hermann Gmeiner Award 2020. Voting ends Thursday, 12 p.m. Central European Time. Learn about our eight inspiring finalists - all of whom grew up in an SOS Children's Village. You can vote for one woman and one man for this year's award. Vote today! https://www.sos-childrensvillages.org/who-we-are/hermann-gmeiner-award/2020-hermann-gmeiner-award",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157593146051984/?type=3,,,Timeline Photos,,,,,3.59,HIGH,0,0,0,0,0,1,0,0
1.02E+16,0,1,1,1,2,0,0,0,1,grey,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71005,73226,2020-07-21 11:00:37 EDT,21-07-20 0:00,11:00:37,Photo,77,56,8,7,5,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157595551641984,"Young people are our future leaders! 👩‍💼👨‍💼 To help them shape their future, young people should be given the opportunity to speak up 📣 & be encouraged 💪 to actively participate in the decisions that affect their lives. #BetterFuture #YoungPeople #NextGeneration",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157595551641984/?type=3,,,Timeline Photos,,,,,-1.13,HIGH,0,0,0,0,0,1,0,0
1.02E+16,0,1,0,1,1,0,0,0,0,purple,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71100,73363,2020-07-25 12:00:40 EDT,25-07-20 0:00,12:00:40,Photo,332,216,18,39,50,0,0,0,0,9,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157605664951984,"“What I feel with music is that it opens doors to the world. My determination and willingness to modernize the industry pushed me to change the musical landscape in Bolivia.⁣ ⁣ “I have achieved to make music a living but this is only the beginning. Although the Covid-19 lockdown is slowing down businesses, I see everything as an opportunity. The business is changing, so I am investing in new artists and betting for digital platforms and technologies. There is not a single day that I don’t envision where I want to go in this industry."" ⁣ ⁣ 𝘝𝘪𝘤𝘵𝘰𝘳 𝘙𝘰𝘫𝘢𝘴 𝘨𝘳𝘦𝘸 𝘶𝘱 𝘪𝘯 𝘢𝘯 𝘚𝘖𝘚 𝘊𝘩𝘪𝘭𝘥𝘳𝘦𝘯'𝘴 𝘝𝘪𝘭𝘭𝘢𝘨𝘦 𝘪𝘯 𝘚𝘢𝘯𝘵𝘢 𝘊𝘳𝘶𝘻. 𝘏𝘦 𝘸𝘢𝘴 𝘰𝘯𝘦 𝘰𝘧 𝘵𝘩𝘦 𝘧𝘪𝘳𝘴𝘵 𝘵𝘰 𝘨𝘰 𝘵𝘰 𝘜𝘯𝘪𝘷𝘦𝘳𝘴𝘪𝘵𝘺 𝘢𝘯𝘥 𝘳𝘦𝘤𝘦𝘪𝘷𝘦𝘥 𝘢 𝘴𝘤𝘩𝘰𝘭𝘢𝘳𝘴𝘩𝘪𝘱 𝘧𝘰𝘳 𝘤𝘰𝘮𝘱𝘶𝘵𝘦𝘳 𝘴𝘤𝘪𝘦𝘯𝘤𝘦𝘴. 𝘉𝘺 𝘮𝘢𝘬𝘪𝘯𝘨 𝘧𝘳𝘦𝘦 𝘮𝘶𝘴𝘪𝘤 𝘷𝘪𝘥𝘦𝘰𝘴 𝘧𝘰𝘳 𝘶𝘱-𝘢𝘯𝘥-𝘤𝘰𝘮𝘪𝘯𝘨 𝘢𝘳𝘵𝘪𝘴𝘵𝘴 𝘶𝘯𝘥𝘦𝘳 𝘢 𝘭𝘰𝘤𝘢𝘭 𝘷𝘪𝘥𝘦𝘰 𝘱𝘳𝘰𝘥𝘶𝘤𝘦𝘳, 𝘝𝘪𝘤𝘵𝘰𝘳 𝘥𝘪𝘴𝘤𝘰𝘷𝘦𝘳𝘦𝘥 𝘩𝘪𝘴 𝘱𝘢𝘴𝘴𝘪𝘰𝘯 𝘧𝘰𝘳 𝘵𝘩𝘦 𝘮𝘶𝘴𝘪𝘤 𝘪𝘯𝘥𝘶𝘴𝘵𝘳𝘺. 𝘏𝘦 𝘪𝘴 𝘯𝘰𝘸 𝘢 𝘮𝘶𝘴𝘪𝘤 𝘱𝘳𝘰𝘥𝘶𝘤𝘦𝘳 𝘪𝘯 𝘉𝘰𝘭𝘪𝘷𝘪𝘢.",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157605664951984/?type=3,,,Timeline Photos,,,,,3.82,HIGH,0,1,0,0,0,0,0,0
1.02E+16,1,1,1,0,1,0,0,0,0,grey,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71135,73404,2020-07-27 11:01:04 EDT,27-07-20 0:00,11:01:04,Photo,71,51,2,11,4,1,0,0,0,2,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157610915806984,"What's the best thing we can give to children? The ability to just be a kid! When we let them learn from their surroundings 🌍, explore their curiosity 👩‍🔬and listen to their dreams 🌟, we are helping them become the best versions of themselves!",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157610915806984/?type=3,,,Timeline Photos,,,,,-1.23,HIGH,0,0,0,0,0,1,0,0
1.02E+16,0,1,0,1,2,0,0,0,0,white,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71148,73416,2020-07-28 07:00:23 EDT,28-07-20 0:00,7:00:23,Photo,100,80,1,10,7,0,0,0,0,2,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157612969296984,SOS Children’s Villages is co-organizing a virtual forum focusing on COVID-19 responses in relation to alternative care in the South East Asia region. Young people who grew up in SOS Children's Villages care are among today's forum speakers. The forum highlights the new declaration endorsed by care leavers and care leaver networks of over 25 countries: https://drive.google.com/file/d/1w771z28H4DPyhoQOlr8dzWinHXbFgF09/view,https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157612969296984/?type=3,,Declaration on Responding to the transnational needs of Care Leavers amidst COVID-19 & beyond!,Timeline Photos,,,,,1.15,LOW,0,0,0,0,0,0,0,0
1.02E+16,0,1,1,1,2,0,0,0,0,grey,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71148,73416,2020-07-28 11:01:06 EDT,28-07-20 0:00,11:01:06,Photo,106,83,1,12,8,0,0,0,0,2,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157613406531984,"""Vietnam experiences the highest unemployment for a decade due to COVID-19. Many care leavers lost their jobs and are unable to pay their bills. Although the government has announced support packages to benefit people affected by the pandemic, some care leavers have trouble accessing it."" Phong Le is a 28-year old care leaver of SOS Children’s Villages Vietnam and an advocate for sustainable development. Today he spoke at the virtual forum on COVID-19 and alternative care in the South East Asia region. https://www.sosphilippines.org/blog/article/142/policy_brief__covid_19_response_towards_the_alternative_care_of_children_in_southeast_asia",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157613406531984/?type=3,,,Timeline Photos,,,,,1.22,HIGH,0,0,0,0,0,1,0,0
1.02E+16,0,0,0,0,0,1,0,0,0,brown,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,72160,73678,2020-10-12 10:47:52 EDT,12-10-20 0:00,10:47:52,Photo,67,53,0,7,4,0,0,0,0,3,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157794331826984,"As part of the EU funded Carepath Project, Eurochild together with international partners, is convening an online conference to bring discussions on transition out of public care to a European level with crucial inputs from care leavers themselves. Register for the webinar tomorrow👉 https://bit.ly/3lEnY1U:=:https://carepath-project.eu/site/en/news/view.html?id=11",https://www.facebook.com/eurochild/photos/a.175030721523/10157616454131524/?type=3,,Aftercare for Care Leavers: Learning lessons from across Europe Register now! 13 October 2020 10:00- 12:30; 14:00- 15:30 Online carepath 2Readlah trikala,Eurochild,"As part of the Carepath-Project, we're organising together with the other international partners an online conference on aftercare for #careleavers on 13 October! Read the programme and register now! 👉https://bit.ly/3ktlbbl:=:https://www.eurochild.org/events/event-detail/article/aftercare-for-care-leavers-learning-lessons-from-across-europe/?no_cache=1",,,,-1.3,HIGH,0,0,0,0,0,0,0,0
1.02E+16,1,1,1,1,2,0,0,0,0,grey,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71259,73544,2020-08-05 09:18:15 EDT,05-08-20 0:00,9:18:15,Photo,285,198,13,25,20,0,0,1,0,28,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157633577531984,"“We all heard the horrible news about the devastating explosion in Beirut yesterday evening that hit the country in the midst of an economic and health crisis. We are relieved to hear from our colleagues at SOS Children´s Villages Lebanon that only the building of the National Office in Beirut was partially damaged, but there were no casualties. Children as well as co-workers in Lebanon are fine and safe. There is no damage at the SOS Children´s Villages as they are not located in Beirut. Our thoughts, hopes and best wishes are with our colleagues and the people of Lebanon. We are very concerned about the loss of lives and the many people who were injured and lost their homes in this tragedy. SOS Children’s Villages Lebanon and the International Office are currently looking into how SOS Children’s Villages can best support.” - Tom Malvet, International Director for the Middle East Region, CEE/CIS SOS Children’s Villages - (Photo: A programme of SOS Children's Villages Lebanon).",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157633576581984/?type=3,,,,,,,,3.28,HIGH,1,1,0,0,0,1,0,0
1.02E+16,0,0,0,0,0,1,0,0,0,grey,SOS Children's Villages International,soschildrensvillages,60690706983,CHARITY_ORGANIZATION,0,AT,Learn more about SOS Children's Villages International here: www.sos-childrensvillages.org,30-03-09 6:50,71290,73578,2020-08-06 04:59:42 EDT,06-08-20 0:00,4:59:42,Photo,119,91,0,19,4,0,0,0,0,5,,-,0,0,0,,https://www.facebook.com/60690706983/posts/10157635771601984,"Early intervention and support for families can often help children and families to regain strength so children do not need to be separated from their parents. During #COVID19, this crucial support cannot be cut. https://www.sos-childrensvillages.org/getmedia/2f48da70-4326-4fa8-950f-44fb5effe7c2/Covid19_Advocacy_PositionStatement.pdf",https://www.facebook.com/soschildrensvillages/photos/a.460101386983/10157635770606984/?type=3,,"sos CHILDREN'S LAGES INTERNATIONAL ONAL Supporting children and families today can help reduce the need for alternative care placements tomorrow. """,,,,,,1.37,HIGH,0,0,0,0,0,0,0,0
