image_id,Child,Smile,Emotions,Female,Male,PeopleNumber
10159323881961597.jpg,FALSE,TRUE,['SAD'],TRUE,FALSE,1
10159324322019002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159325185424002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159325599536597.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,2
10159325899999002.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10159326347566597.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10159327528814002.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10159329045054002.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,2
10159329948281597.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159330641589002.png,FALSE,FALSE,[],FALSE,FALSE,0
10159332177169002.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159332316646597.jpg,TRUE,TRUE,[],FALSE,TRUE,2
10159332562509002.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159333102956597.jpg,TRUE,TRUE,[],TRUE,TRUE,2
10159334609714002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159334713266597.jpg,TRUE,TRUE,"['CALM', 'SURPRISED']",TRUE,FALSE,2
10159335572901597.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,2
10159338323761597.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
10159338560904002.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10159339500089002.jpg,FALSE,TRUE,['CALM'],TRUE,TRUE,2
10159340110406597.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,2
10159340193374002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159340906381597.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159342062009002.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159342392929002.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10159342851411597.jpg,TRUE,TRUE,"['HAPPY', 'CALM', 'SAD']",TRUE,TRUE,2
10159343151241597.jpg,TRUE,TRUE,['HAPPY'],TRUE,TRUE,2
10159344745384002.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10159345080776597.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159345092649002.png,FALSE,FALSE,[],FALSE,FALSE,0
10159345808069002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159347440096597.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10159347544959002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159348226604002.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10159349398549002.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159349664416597.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,2
10159350881499002.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159351233066597.png,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
10159353328299002.png,FALSE,FALSE,[],FALSE,FALSE,0
10159355752731597.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10159356263784002.jpg,FALSE,TRUE,"['FEAR', 'HAPPY', 'CALM', 'SAD']",TRUE,TRUE,2
10159356542446597.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10159357815249002.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10159358203246597.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159358456419002.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10159358724059002.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159360281744002.jpg,FALSE,TRUE,[],FALSE,TRUE,1
10159360883184002.jpg,FALSE,TRUE,[],TRUE,TRUE,2
10159361798084002.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
10159362566774002.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10159363156319002.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159363512516597.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10159363766661597.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10159364805584002.jpg,TRUE,TRUE,[],TRUE,TRUE,2
10159366072821597.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159367352271597.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159369117144002.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10159369212921597.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10159370420229002.png,FALSE,FALSE,[],FALSE,FALSE,0
10159371133131597.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159371451934002.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10159372962126597.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159373631474002.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,2
10159375594326597.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159376074856597.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10159376273814002.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,FALSE,2
10159378274636597.jpg,TRUE,TRUE,['SAD'],TRUE,FALSE,2
10159378513049002.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10159379204614002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159379569091597.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159380090946597.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10159381533141597.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159382207704002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159383682501597.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10159385638816597.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159385696464002.jpg,TRUE,TRUE,[],FALSE,TRUE,1
10159388078359002.jpg,FALSE,TRUE,['CALM'],TRUE,TRUE,2
10159390522579002.jpg,TRUE,TRUE,['FEAR'],TRUE,TRUE,2
10159393327899002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159394674489002.jpg,FALSE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10159395674774002.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,2
10159397076809002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159397320664002.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,2
10159398316379002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159399739644002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159400789994002.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10159401521109002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159402273499002.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10159404686374002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159405413139002.png,FALSE,FALSE,[],FALSE,FALSE,0
10159406329484002.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,2
10159409346984002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159410311674002.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159410908574002.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159411727334002.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,1
10159413144109002.png,FALSE,TRUE,['FEAR'],TRUE,FALSE,2
10159413372409002.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10159413914784002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159415903749002.jpg,FALSE,TRUE,['SAD'],TRUE,FALSE,1
10159416138174002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159416674054002.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10159419016469002.jpg,TRUE,TRUE,[],TRUE,TRUE,2
10159419545389002.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10159420333429002.jpg,FALSE,TRUE,"['HAPPY', 'FEAR']",TRUE,FALSE,2
10159420801534002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159420838509002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159420980554002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159421460829002.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
10159421515129002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10159421521524002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159424472194002.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10159435954559002.png,FALSE,FALSE,[],FALSE,FALSE,0
10159437672309002.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,2
