Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,LOGO,Followers at Posting,Total Interactions,Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
1,1,1,0,2,0,0,0,0,grey,1,143362,1489,HIGH,0,0,0,0,0,1,1,0
0,1,1,0,1,0,0,0,0,cyan,1,143335,2063,HIGH,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,brown,1,149590,264,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,1,blue,1,1932126,267,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,grey,1,1932400,594,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,green,1,27551757,6910,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,grey,1,27559147,9624,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,cyan,1,27559147,12720,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,grey,1,27562347,12692,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,grey,0,866047,757,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,blue,1,27562347,7141,LOW,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,cyan,1,27562347,10759,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,2,0,0,0,0,green,1,27562347,4794,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,brown,1,1933078,164,HIGH,0,0,0,0,0,1,0,0
0,1,1,1,2,0,0,0,0,grey,1,143488,306,HIGH,1,0,0,0,0,0,1,0
1,1,0,1,2,0,0,0,0,grey,1,27564618,11102,HIGH,0,0,0,0,0,0,1,0
0,1,0,1,1,0,0,0,1,grey,1,27564618,12328,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,grey,1,27564618,11792,HIGH,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,grey,1,1933517,384,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,grey,1,1933517,755,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,brown,1,143517,222,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,1,0,1,brown,1,149675,142,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,2,0,0,0,0,grey,1,27567098,14859,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,2,1,0,0,0,cyan,1,1933906,317,HIGH,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,purple,1,143553,158,HIGH,0,0,0,0,0,0,0,0
1,1,0,1,2,0,0,0,0,cyan,1,1934294,505,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,2,0,0,0,0,cyan,1,143588,176,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,brown,1,27569954,7816,HIGH,0,1,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,blue,1,27574023,121383,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,red,1,1934653,316,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,grey,1,1934653,405,HIGH,0,0,0,0,0,0,0,0
1,1,0,1,2,0,0,0,0,brown,1,27574023,10820,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,brown,1,143636,189,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,1,0,0,0,grey,1,27577153,7437,HIGH,0,1,0,0,0,0,1,0
1,1,0,1,2,1,0,0,0,grey,0,866157,266,HIGH,0,1,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,grey,1,1935026,186,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,grey,1,27580405,7471,HIGH,0,0,0,0,0,0,1,0
1,1,0,1,1,0,0,0,0,grey,1,1935883,259,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,cyan,1,149606,158,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,grey,1,143706,286,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,1,1936413,529,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,blue,1,27587547,7057,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,red,0,867254,533,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,1,149757,145,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,1,0,0,0,brown,0,867365,418,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,purple,1,143767,112,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,1,0,0,0,grey,1,149854,281,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,2,0,0,0,0,cyan,1,27595099,1168773,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,blue,0,867438,144,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,brown,1,1937788,259,HIGH,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,cyan,1,27604337,7902,HIGH,0,0,0,0,0,0,1,0
0,1,1,1,2,0,0,0,0,blue,0,867526,336,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,2,0,0,0,0,grey,1,143887,382,HIGH,0,0,0,0,0,1,0,0
1,1,0,1,2,0,0,0,0,grey,1,150098,220,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,0,0,grey,1,27613611,850117,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,grey,0,867533,282,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,grey,1,143899,318,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,1,150199,229,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,cyan,0,867533,100,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,grey,1,143934,220,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,1,0,0,0,brown,1,1938175,528,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0,grey,1,150311,258,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,grey,1,150311,343,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,brown,1,27633635,7391,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,brown,1,150437,318,HIGH,0,0,0,0,0,1,0,0
1,1,0,1,2,0,0,0,0,grey,0,867489,475,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,cyan,1,144023,237,HIGH,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,grey,1,150544,63,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,0,0,grey,1,1938096,421,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,1,150544,318,HIGH,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,brown,1,27640045,1314332,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,grey,1,27640045,253504,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,grey,1,1938081,473,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,0,867494,320,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,cyan,1,27640045,5163,LOW,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,brown,1,150657,168,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,grey,1,27640045,997449,HIGH,0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,0,brown,1,150657,301,HIGH,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,grey,1,144130,163,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,grey,1,27654551,3842,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,grey,0,867538,451,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,grey,1,150748,228,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,cyan,1,27670948,6501,HIGH,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,blue,1,27670948,8688,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,grey,1,27670948,12809,HIGH,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,brown,0,867565,535,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,1,0,0,0,brown,1,150854,385,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,grey,1,144169,175,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,blue,1,27919318,13119,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,grey,1,1938253,270,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,2,0,0,0,0,grey,1,150931,130,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,2,0,0,0,0,cyan,1,144219,380,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,grey,0,867569,599,HIGH,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,cyan,1,27674847,20106,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,cyan,1,27862123,37693,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,purple,1,144246,252,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,grey,1,27674847,1268299,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,red,0,867479,178,LOW,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,grey,1,27679575,2747,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,2,1,0,0,0,grey,1,27679575,13185,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,blue,0,867377,157,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,grey,1,151080,151,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,grey,1,1938911,428,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,green,1,144326,123,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,purple,1,27696774,17094,LOW,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,pink,1,151147,55,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,2,0,0,0,0,grey,1,27696774,28741,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,1,0,yellow,1,27699104,8775,HIGH,0,0,0,0,0,1,0,0
1,1,0,1,2,0,0,0,0,cyan,1,27699104,14322,HIGH,0,1,0,0,0,1,0,0
0,1,1,1,2,0,0,0,0,grey,0,867238,401,HIGH,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,grey,1,1939692,774,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,brown,1,27701907,18471,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,grey,1,1939692,559,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,green,1,1939692,890,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,1,cyan,1,27701907,7053,HIGH,0,1,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,grey,0,867223,117,LOW,0,0,0,0,0,1,0,0
